context,tag
? А вам что же мои стихи не нравятся? ? с любопытством спросил Иван.  ? Ужасно не нравятся.  ? А вы какие читали?,-2
? А ведь мне сейчас перед вами было ужасно весело ? проговорила она ? и в самом деле… что… то есть что собственно случилось непоправимого?,2
? А знаешь ли что ты нынче её ужасно рассердил?,-2
? А может быть вам пора ответ держать Михаил Андреевич ? негромко говорит Петунин из своего угла…  Становится ужасно тихо.  Дым папиросный уносится к потолку.,0
? Ах да ? говорю я едко ? ведь ты же у нас засекреченный товарищ.  Я ужасно расстроен.  Мне очень хотелось пойти с Виктором на стадион а потом в филармонию где будут на концерте все наши ребята.,-2
? Вот что Сергей Сергеевич ? Борис Иванович отводит глаза в сторону ему ужасно неприятно начинать этот разговор но ничего не поделаешь он поднимает голову и спрашивает в упор ? Что там у вас с квартирой происходит?,-2
? Вы знаете ? наконец продолжил он ? мне ужасно надоело выполнять подобного рода поручения.,-1
? Вы ужасно болтливы и непоседливы ? говорила она ? дайте мне дочитать главу…,-1
? Должен вам прямо сказать что вы ужасно фотогигиеничны.,1
? Здесь жуткая жара ? мозги слипаются ходишь все время в мокрой футболке ужасно хочется пить.,0
? И я тебя ужасно рада видеть Пашечка!,2
? Извини за экзальтацию. Просто я ужасно счастлива. Я так рада здесь быть.,2
? Извини что я затащил тебя на репетицию ? сказал Рустам когда они ехали по Кирочной улице в сторону Суворовского проспекта.  ? Это всё ещё ужасно сыро!..  ? Мне понравился Марк ? возразила Соня.,-1
? Комфортно ужасно совершенно как дома ? читай сиди лежи пиши…,2
? Кроме того у меня довольно большие глаза…  ? Ужасно глупый разговор ? сказала Таня.  ? Вот и прекрасно.,-2
? Лиза ужасно нервничала отправив заявку а когда пришел ответ Колесникова что ее отобрали было столько криков!,-1
? Мой друг мне и нездешнее ужасно надоело.,-2
? Наркотик?! ? почему-то эта мысль меня ужасно поразила.,-1
? Не знаю…  ? Вот и я беспокоюсь ужасно.  ? Будь что будет.,-1
? Но вы так переменились так ужасно переменились!,0
? Но справедлив!..  ? Ужасно справедлив!..  ? Чрезвычайно справедлив!..,2
"? Ну знаешь ? сказала Людмила ? ты раньше напиши в физике ""Войну и мир"".  Штрум ужасно смутился.  ? Да-да Людочка ты права зарапортовался ? пробормотал он и невольно с упрёком посмотрел на жену. ? Господи и в такие минуты нужно подчёркивать каждое моё неверное слово.",0
? Ой пойдемте уже рухнем где-нибудь я ужасно голодна.,-1
? Представляю себе как Витя воспримет эту новость ? сказала она. ? Он ужасно нервный теперь всё ему кажется что его посадят.,-1
? Пусть мама сделает как ей хочется ложись ? велел Сане Слава который все-таки проснулся от мамочкиных речей. Вот эти слова мужа резанули ужасно. Что ж получается у них можно в чужую спальню прямо так без стука?,-2
? Сегодня было красиво. Ужасно красиво… Он не сразу отозвался не сразу понял ее ? ведь в музыке сегодня было так много красивого а сейчас она и сама была так волнующе красива в свете одинокого фонаря за окном что мягко лепил тусклым золотом ее плечи шею ключицы и грудки-выскочки придавая им целомудренное чуть ли не иконное сияние.,2
? Сереж ? позвала она ? я вся в крови и у меня ужасно болит живот.,-2
? Ты Михайлов всё-таки ужасно спесив ? если сын поступает то обязательно в университет.,-2
? Ужасно обидно все это слышать ? отзываюсь я.,-2
? Ужасно почему-то захотелось «Раковых шеек» все время о них думаю…,0
? Хочешь чаю?  ? Ужасно хочу чаю.  Она сервирует мне стол.,0
? Я ? артистка я ? певица я ? ужасно взбалмошная женщина.,-1
? Я бы сказала послушайте ведь это ужасно неделикатно!,-2
– Я просто ужасно испугался потому и не совладал с собой.,-1
"""Вы где брали вино? ? лениво спросил я Волхова между тем как в глубине души моей одинаково внятно говорили два голоса один ? господи приими дух мой с миром другой ? надеюсь не нагнуться а улыбаться в то время как будет пролетать ядро ? и в то же мгновение над головой просвистело что-то ужасно неприятно и в двух шагах от нас шлепнулось ядро.",-2
"""Ужасно ему сочувствую"" ? проговорил он в уме.",0
"""Я ужасно хочу написать свои воспоминания потребность чувствую.",1
) еле слышным ароматом специй сладковато-пряным духом копченостей из монастырской коптильни легкой испариной… Отросшие и уже вьющиеся волосы пружинили под его пальцами он подумал что они с Айей должно быть опять ужасно похожи этими упругими завитками одинаково крутых затылков.,0
.  Устал я ужасно.  Дашь мне Фирс переодеться.,-1
. Безуханов довольно много чего печатал в различных сборниках диссертацию защитил докладов и лекций прочел кучу в том числе и заграницей причем для этого ему даже не нужно было в партию вступать как некоторым его соученикам по университету ужасно в советскости измазавшимся.,-1
. Это меня впрочем огорчает доктор ? продолжал я после минуты молчания ? я никогда сам не открываю моих тайн а ужасно люблю чтоб их отгадывали потому что таким образом я всегда могу при случае от них отпереться.,2
.. Одна поступь чего стоит! . Ужасно самовлюблённый народ…  ? Профессор помахал рукой.,-2
[gureva_nastasya жен] И конечно же моего любимого мужа это тоже не обошло стороной) В прошлую среду на Сашкин день рождения я потащила его и еще пару друзей играть в новую (для нашего города) и ужасно интересную штуку под названием «Клаустрофобия».,2
[rnd-den муж] Недостатки все хорошо но вот только этот ужасно громкий сигнал ? писк внутреннего блока в момент вкл/ выкл/ изменения температуры/ изменения наклона потока/…. и любой другой операции с ПДУ оповещающей об удачном переключении режима агрегата ? просто рвет все барабанные перепонки.,-2
[Наталья жен] У меня она проходила ужасно тяжело но прошла.,-2
«Я к Клину сам не знаю как ужасно привязался…» — писал композитор Петр Чайковский (1840 – 1893) о городе где он прожил последние полтора года своей жизни.,1
… наверху ко мне подбежали две девушки какую-то тряпочку прилепили на лоб. Мне было почему-то ужасно холодно. Дали стульчик я села.,-1
А ведь совсем недавно когда ушла жена сказав напоследок что ей не по пути с ним безродным и ни к чему не приспособленным «Надо полагать кончишь ты как и твои непутевые родители» ? ему было ужасно плохо все-то валилось из рук измучивала мысль что он и впрямь никому не нужен.,-2
А если бы принял то не пошёл бы в угрозыск.  (Получилось ужасно путано я понимаю.  Но не стану опережать события.,-1
А когда одна женщина укутанная до самых глаз в пуховый платок так что совсем не видно было лица подошла к нему нагнула мягким движением патлатую голову и поцеловала он покраснел вдруг ужасно пунцово до слез стал беззащитным наивным обычным смущенным подростком и как оказалось вполне симпатичным при этом.,0
А меня например потрясающе в университете учили истории Африки ? я ужасно люблю про нее рассказывать но совершенно не знаю куда это всунуть.,2
А он сильно пожилой?  ? Ужасно пожилой вроде вас.  ? А что?,0
А потом Гороховую переименовали в улицу Дзержинского помнили как там на Гороховой ночей не спала Чрезвычайка ужасно к народу близкая.,0
А с другой ? ужасно грустно когда нам фонд не доносит никакого feedback-а как это очень часто бывает.,-2
А сейчас вечером домой идти не хочеться ? всё равно дома никого нет.  Соскучилась просто ужастно!  tatjana 2004. 07. 1220 57.,-1
А то у меня ведь всё что мне Шарифа шлёт отбирают! Я ужасно голодаю постоянно хочется есть! А не отдать нельзя могут ударить побить!,-2
А это ужасно грустно когда Давидом Федоровичем тычут а ты-то чего?,-2
Америка России подарила пароход С носа пар колёса сзади И ужасно и ужасно И ужасно тихий ход.,0
Анна рассказала как она впервые в 11 лет потратила все карманные деньги на красные розовые и чёрные кружевные трусики в бельевом магазине родителей ? могла бы конечно и так попросить у мамы с папой но стеснялась ужасно.,-1
Антону ужасно не хотелось одному ковыряться с многочисленными распечатками но он вспомнил о Лизе и промолчал.,-1
Аська я ужасно скучал чтоб ты знала горгулья ты киевская.,0
Бегаем там бомбочки взрываем ну в смысле ? хлопушки…  Почему-то это сообщение всех ужасно развеселило.  ? А признайтесь Олечка ? вдруг поддразнил её Глинка ? вы бы не отказались пополнить этим Домби свою коллекцию…,2
Буря мглою небо кроет Вихри снежные крутя То как зверь она завоет То заплачет как дитя.  Ужасно это нравится Алексею Петровичу!  Он широко смеётся обнажая жёлтые зубы радуется топает ногой.,2
Был я в Москве и так летал что не успел заехать в Питер и написать тебе об этом.  Время ужасно быстро скачет.  До свидания ? скоро увидимся.,0
Были они ужасно молоды и в какой-то момент я их даже уволил.,-1
Было почему-то ужасно стыдно кругом мальчишки мне казалось что я глупо выгляжу.,-2
Было ужасно хорошо только немножко плохо потому что от радости он не удержался.,2
"В ""диванной"" царил обычный полумрак и было на мой взгляд ужасно душно.",-1
В глубине души она была ужасно разочарована.,-2
В его голосе было что-то ужасно знакомое…,0
В ней тоже есть что-то от Алины. А Марине было ужасно неуютно. Подруга Толика?,-2
В Олеге Цыркове вообще было много такого что ужасно раздражало Алексея Юрьевича в других людях но Олегу он прощал многое даже можно сказать всё потому что сорокалетний магнат горел любовью к ювелирному искусству и искренне хотел научиться разбираться в нем не хуже настоящих профессионалов.,-2
В продолжение двух дней мои дела ужасно? подвинулись.,0
В тот раз когда на арену вышли акробаты и один полез на голову другому я ужасно расхохотался потому что думал что это они так нарочно делают для смеху ведь дома я никогда не видел чтобы взрослые дядьки карабкались друг на друга.,0
"В трусиках в маечке и босиком.  А пол ужасно холодный.  Она смотрит на нас и говорит ""Я писать хочу""",-1
В ухо например или в образовавшийся костный дефект. Доктору этот человек ужасно надоел. И творческий доктор подговорил сынишку отловить воробья а после выбрав момент явил воробья пациенту со словами вот я его вынул.,-2
"Ведь хламидомонада погибает от ""жары"" уже при плюс 4 градусах а рачки из солоноватых озёр Аравийского полуострова с очень тёплой водой ужасно ""мёрзнут"" даже при плюс 35 градусах и при дальнейшем понижении температуры гибнут от ""холода"".",0
Ведь ? «… я был всегда ужасно неуклюжий.  Во мне есть ужасное уродство поведения до неумения «встать» и «сесть».,-1
Вечером начало тошнить ужасно в груди появился какой-то не то мороз не то жжение ноги дрожали и при всем при этом я была холодная и ужасно бодрая не спала всю ночь и сейчас не хочу.,-2
Вечером начало тошнить ужасно в груди появился какой-то не то мороз не то жжение ноги дрожали и при всем при этом я была холодная и ужасно бодрая не спала всю ночь и сейчас не хочу.,0
Вики еще когда умывался вдруг отчего-то ужасно разнервничался.,-2
Волосы светлые барашком вьются в очках. Ужасно застенчивый. Он нас страшно стеснялся но ему дали задание и он пришел.,0
Во-первых наступали сумерки ? самое неопределённое время суток во-вторых в голове был туман ну и в-третьих стёкла в трамвае были ужасно пыльные.,-2
Вопрос на самом деле ужасно интересный экстраполировать его можно куда угодно ? хоть на литкритику хоть на современное искусство.,2
Впервые мне было ужасно обидно за мужа и я понимала что он не по своей вине выглядит смешно и жалко.,-2
Все без исключения говорили о том что были ужасно удивлены теми мыслями которые приходили им в голову в процессе эксперимента но не сумели их внимательно «рассмотреть» из-за ухудшения общего состояния.,0
Все его истории камерные про обыкновенных людей незадачливых вечно попадающих в какие-то идиотские ситуации и просто пытающихся прожить свою незатейливую жизнь которая со стороны ужасно смешная и одновременно грустная.,2
Все мы ужасно прытки на подобные заключения.,0
Все они были разные и вот тогда я заметил что у каждого из домов (не внутри а снаружи) есть особое скучное место обычно это угол какой-то ужасно-скучный угол.,-2
Всё случившееся представилось ужасно смешным я начала смеяться сотрясаясь всем телом.,2
Все соседи вышли из своих квартир.  Она говорит ? было ужасно весело.  Все смеялись и хлопали.,2
Все страшно запуталось и проясняется только когда я стою с тобой вот так и слушаю ветер там под твоей курткой гул зимнего моря шторм ты что-то говоришь но слова расплываются как будто и слух мой тоже слезится только море голос и запах талого снега все это вместе — ты которого я наверное ужасно люблю.,2
Все это так ужасно противоречило ее скромным размерам и настроению что вызывало какой-то внутренний диссонанс и протест и делало абсолютно невозможными даже попытки посмотреть на нее не говоря уж о том чтобы действительно увидеть.,-2
Всё что громоздится то ужасно шумит о себе.,0
Вы первые… к кому приехал…  Ужасно рад… с вами увидеться…  Как прыгаете?..,2
Выполнять просьбу своего давнего друга и нынешнего шефа ей ужасно не хотелось но в то же время и обижать его отказом в помощи тоже как-то… не по-товарищески.,-2
Галина тоже никогда не верила что он может не испытывать к красавице Эльвире никакого мужского интереса ревновала ужасно подозревала и постоянно говорила глупости и гадости по этому поводу.,-1
"Говоря высоким штилем ? ""смерть уже лежала на его высоком челе"".  Ревновал он её ужасно.  Говорят целые ночи простаивал под её окнами.",-1
Говоря же по-простому по-человечески потеряв его мы ужасно тосковали и мучились но никак не решались ввергнуть свои сердца в новый водоворот привязанности и любви а каким он могучим бывает этот водоворот мы уже знали.,-2
губы как будто наждаком стерты болят ужасно,-2
Дама выходя меня заметила и ужасно смутилась.,-1
Две ближайшие репетиции с Робертом отменил сославшись на простуду (вздыхал в трубку бесстыжим голосом «Я ужасно болен Роберт ужасно!,-2
Две ближайшие репетиции с Робертом отменил сославшись на простуду (вздыхал в трубку бесстыжим голосом «Я ужасно болен Роберт ужасно!,-2
Дела школы шли ужасно плохо средств не было профессора переругались лекторов не хватало слушатели злились.,-2
Димка посмотрел на Фрама и сразу вспомнил их всех и всё летом в центре ужасно весело.,2
Для блезиру какая-нибудь высокая и ужасно многосторонняя комиссия придумает всех устраивающие формулировки.,-1
"До Москвы мы ехали следующим образом я захватил с собой несколько бутылок белого сухого бессарабского в узелке у птицелова оказались хлеб брынза завёрнутые в газету ""Моряк"" и в течение полутора суток ни разу не сомкнув глаз мы читали друг другу свои и чужие стихи то есть занимались тем чем привыкли заниматься всегда и везде и при любых обстоятельствах дома на Дерибасовской на Ланжероне в Отраде и даже на прелестной одномачтовой яхте английской постройки ""Чайка"" куда однажды не без труда удалось затащить птицелова который вопреки легенде ужасно боялся моря и старался не подходить к нему ближе чем на двадцать шагов.",-1
Добавив  ? Но я всегда ужасно завидовала Терешковой…  ? Там ? говорю ? Казанский собор…,-1
Добрый ужасно и не такой уж старичок между нами ? вполне интересный мужчина.,2
Достав его из глубин тумбочки он овеваемый воспоминаниями ужасно долго переодевался потому и оказался в очереди последним.,-1
Евгения Васильевна отчего-то сильно расстроилась и стала говорить что в ближайшее время у нее не будет возможности выбраться к Дорожкиной а она ужасно соскучилась и хочет непременно повидаться.,0
Его квартира была настоящей лавкой старьевщика то есть ужасно Леону нравилась помимо фанерных полок с книгами и каталогами тут были горы древних видеокассет с фильмами всех времен и народов от «Набережной туманов» до «Летят журавли» и такие же горы древних аудиокассет с записями ? от концертов Яши Хейфеца до конкурсов трескучих виртуозов тамтама.,2
Ей ужасно странно что я который привык к хорошему обществу который так короток с её петербургскими кузинами и тётушками не стараюсь познакомиться с нею.,-1
"Ему ужасно хотелось ""утереть нос"" Полякову и ""Скорпиону"".",0
Ему помнит хорошо тогда всё казалось что они ужасно долго знакомы.,1
Если Лёве звонят по телефону он всегда подходит как бы ужасно он ни был занят.,0
Если не сегодня то когда? Я ужасно мелодраматична. Ну вот надо мне чтобы ? как в романе.,-1
Если упадут цены на энергоносители нам будет скверно общеизвестным образом а если не упадут нам будет скверно образом доселе нами не испытанным доходы населения будут расти а его удовлетворённость жизнью ? ужасно падать.,-2
Если например приятели хорошие и Руслан ими дорожит ? то ему ужасно как неловко будет её трахать у них в доме.,-1
Ещё в молодые годы посетив Румянцевский музей где было в ту пору большое собрание картин Репин пишет своему старшему другу о том глубоком понимании искусства которое проявляют иногда «зипуны» «По случаю воскр[есенья] а потому бесплатного входа там было много мужичков нас удивило ужасно их художественное понимание и умение наслаждаться картинами мы ушам своим едва верили как эти зипуны прочувствовали один пейзаж до последних мелочей до едва приметных намёков дали как они потом как истые любители перешли к другому пейзажу («Дубы» Клодта) всё разглядывалось в кулак всё перебиралось до ниточки.,1
Еще один подвиг который должен был меня обрадовать. Если честно я ужасно обрадовалась. Я просто ликовала что вот ради меня дверь вышибли.,2
Ещё сын охотника заткнул за пояс топор сумку с компасом повесил на правое плечо двуствольную «Тулку» ? на левое и так сделался ужасно страшным для всех птиц и зверей.,-1
Еще я помню несколько раз заговаривал он все в том же возбуждении о книгах доставшихся ему от коммунистической тетки о потрясающих в частности и как он выразился «Картинах октябрьской революции» Алданова которые читал он всю ночь отчего ужасно конечно не выспался среди каковых картин есть кстати замечательный легкой и уверенной кистью набросанный портрет небезызвестного вам батьки Махно ? Махно говорил Двигубский снимая в свою очередь ботинки городские и не очень какие-то летние стаскивая соответственно и носки белыми плоскими и неуверенными ступнями пробуя прохладную воду ? Махно говорил он которого Алданов рисует как бы на грозовом и все же слегка комическом фоне сложившихся вокруг него легенд представляющих его прямым потомком былинных русских разбойников Емелек и Стенек так что в этих легендах о Махно не обошлось понятное дело и без персидской княжны ? какой-то с характерной поправкой на время действия роковой еврейки Сони бывшей по одним сведениям злым по другим же совсем наоборот добрым гением батьки то ли толкавшим его на добавочные зверства то ли как раз удерживавшим от зверств.,-1
Желание моё было ужасно сильным я даже во сне только об этом и думал.,0
Замечательная девушка неглупая начитанная неплохо образована.  И самое главное ужасно везучая! !! Наконец - то она встретила того с кем можно найти общие темы для разговора можно весело и непринужденно попеть поиграть на пианино нашла того кто понимает ее.,1
Зинка Фокина поправила очки откашлялась и стала читать ужасно противным голосом,-1
Знаете прекрасно и ужасно довольны тем что знаете.,1
Знаменитость специалист по девиантному поведению ужасно симпатичный дядька.,2
Значит так дочка 14 лет. ужасно тяжёлый переходный возраст.. уже 2 год… почему именно у нас так тяжело понять не могу(((.,-2
И вид у него был такой несчастный-пренесчастный что мне его опять стало ужасно жалко но на этот раз я взял себя в руки.,-2
И всё бы ничего да только жил в том же мухоморе ужасно противный червяк.,-2
И все внешнее в гармонизированной смычке с внутренним моментом одним успокоилось моментом-комендантом стихийным весьма нелиричным утихомирилось даже вот и не потребовалось ничему устаканиваться то есть избегнута была до мук истрезвления адова высокомуторная требушительная процедура (обычно заканчивающаяся шибкой раздерганной а то и вусмерть смутною метафизикой) вся непрелесть которой в том что шумна она буйновата с беспощадностию болтлива заговорить может до смерти оглушив природно рвущимся мимо страсти всякой точнехонько бьющим словцом вербальностью рюмашечной напоследочек придушив немотивированные лишние трупы приличному месту не нужны вовсе они ни к чему кладбище любит чтоб все было чистенько да спокойненько по высшей логике самой мозговитой смерти честной и верной во всем за исключением некоторых особенностей кончины где приходится иногда подретушировать и помухлевать… Но кто сегодня до конца честен ? бросьте в того булыжный исправляющий точно камень только смерть пожалуйста уж не трогайте не обижайте плохим ничем в нее не бросайте несмотря на обнаруженную нами в ней вселенски клептоманскую оказывается вороватость донельзя истовую порой до беспредела взбалмошную… но по земным законам за хорошенькие такие делишки смерть увы не посадишь сроком пожизненного заключения так-то вот не одаришь тут инстанции маячат иные к ним в кончине лишь нет-нет да прорвешься а мы к вам явилися с жалобой с экстренной жалобой на одну невозможно раскрадывающую особу уморительно смешную в нелепых поступках в лице общественности дерзали бы знать когда же все это так-таки и прямо растаки не скроем кончится?.. Уж как смерть ужо вздрогнет ужасно! Вот когда позавидовать ей будет нам ой как трудно.,0
И все мы были бы ужасно нравственными продержись железный занавес до наших дней и будь он действительно железным.,0
И всё равно этот клапан сохраняет свойства ткани. Ужасно захотелось новых вещей одежды. А сейчас так много красивых тканей!,0
И говор народа и стук колеса.  На площади тесно ужасно  И много шаров продают,-1
И для Розанова было так точно вот этот живой любимый его чем-то ужасно и несправедливо обидел что-то отнял у него и у всех людей и это что-то ? весь мир его светлость и теплость.,-2
И мне вдруг ужасно захотелось прогуляться по парку ? отчего-то подумалось что он должен воротам замечательным по красоте соответствовать.,0
И при этом ужасно злился и впадал чуть не в буйство.,-2
И протодиакон Кураев помнится после все-таки состоявшейся трансляции ужасно возмущался (постельные сцены «мал и мерзок?»,-2
И рассказывал дым ужасно разъедал глаза и горло.,-1
И снова вспомнился майор в новых погонах с ужасно светлыми глазами.,0
"И хотя в этом наверное заключался свой урок было ужасно обидно как же так почему чем я хуже? ? но всё равно Колюнчик по примеру партийца папы болел только за суровый ЦСКА никогда бы не пошёл в спортивную секцию другой команды и был безумно счастлив когда однажды ранней осенью его любимая команда стала чемпионом страны в фантастической игре где-то в Средней Азии со счётом три ? два обыграв ""Динамо"".",-2
И хотя зелёные глаза оказывались огнями лесной деревушки а выл в вышине стряхивая с веток снег ветер летали тёмные птицы лес был исхожен и затоптан хуже купавинского Колюнчику всё равно ужасно всё нравилось и то что они живут теперь на восьмом этаже откуда видна вся державная южномосковская даль и что ездят на лифте и что у них есть лоджия где папа устроил крохотную Купавну и выращивал в ящиках зелень и красивые панельные стены и маленькая уютная ванная комната и даже невысокие соразмерные его росточку потолки и красивый линолеум вместо крашеных досок.,2
И щекастое ужасно довольное лицо провожатого похожего на пожилого подростка хвастающего научными чудесами,2
И я ужасно рад что мне довелось участвовать в наблюдении за ним.,2
И  после этого каждый раз чувствует себя ужасно виноватым потому что понимает что Лиза права и в то же время что-то мешает ему согласиться с ней.,-1
И быть может кто-нибудь перед кем мы чувствуем себя так ужасно виноватыми потому что пока мы были живыми мы только и делали что терзали их подстраивая под себя ? быть может нам этот кто-нибудь скажет вослед вытягивая подбородок из ватных или простынных барханов мучимый несуществующей перед нами виной,-1
Или вот в прошлом году в последний день летних каникул перед тем как лечь спать мне например ужасно захотелось стать взрослым но не через пятнадцать ? двадцать лет как становятся все нормальные люди а назавтра же.,0
Или у нее дальтонизм и она не замечает Ромкину вопиющую рыжину которой он сам ужасно стесняется?,-1
Илюха через несколько лет станет таким же как Митя высоким ужасно самостоятельным и вот тут-то придётся Максу выслушать кто он на самом деле.,1
Иногда возвращаясь с работы она по-детски хмурясь рассказывала мне раздраженным голосом о том каких дураков носит Земля я сажал ее к себе на колени гладил по волосам и говорил что-то легкое и приятное ? постепенно она успокаивалась тон становился размеренным и она затихала мне ужасно нравились такие вечера ? как правило их она проводила не с компьютером а всё же только со мной.,2
Иные ужасно обиделись и не шутя что им ставят в пример такого безнравственного человека как Герой Нашего Времени другие же очень тонко замечали что сочинитель нарисовал свой портрет и портреты своих знакомых…,-2
Исчезнуть из всех списков… Ей ужасно захотелось выйти замуж.,0
Каждый раз проснувшись и увидя рядом с собой на подушке дохлую мышь Витя громко вскрикивал так как мышей ужасно боялся а дохлых ? тем более.,-1
Кажется Светлана ещё не растратила весь потенциал но в Берлине ей ужасно не везло.,-2
"Как и Поприщин нехорош собой.  Ужасно обидчив а оттого заносчив.  Поприщин называет сослуживцев ""свиньями"" злится на швейцара не подающего ему шинель подпольный мстит офицеру который проходя мимо не обращает на него никакого внимания.",-2
Как попал в аварию и его спас святитель Николай который остановил машину чтобы не перевернулась. Он ужасно депрессивный. Его депрессию можно сравнить только с тем что в молодости он был ужасно красивым я бы с таким трахалась.,-1
