Timestamp	Сколько вам лет?	Какого вы пола?	Где вы проживали больше всего последние 4 года?	Много ли вы времени проводите в соцсетях?	Чем из этого вы активно пользуетесь?	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речиговорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	Какого примерно возраста говорящий?	Оцените от 1 до 5 [культурность речи говорящего]	Оцените от 1 до 5 [насколько он активно общается в соцсетях]	Оцените от 1 до 5 [формальность обстановки]	"Когда я перечитываю старые переписки, я испытываю..."	"Я искренне прошу прощения, и мне очень ... за своё поведение"	"Назвала преподавателя "Борис Орехович", а он в это время был у меня за спиной. Какой ..."	"Неужели у тебя совсем отсутствует чувство"	"Недавно смотрела видео, где американцев просят показать на карте хотя бы одну европейскую страну. ..."	"Напилась и полезла на стол танцевать, а друг снял это на видео. Смотрю с утра. ..."	Как часто вы используете слово "кринж"?	Часто ли вы слышите его в вашем окружении? Какие это примерно люди, какого возраста, чем занимаются?	Считаете ли вы, что в русском языке нет аналога слову "кринж"? Если есть, то какие?
10/12/2021 15:15:12	19	Мужчина	Ташкент	Немного или вообще не провожу	Вконтакте	до 18	1	5	2	18-27	3	2	3	до 18	1	5	1	18-27	3	2	4	до 18	1	5	1	40-60	1	1	1	18-27	1	4	3	18-27	4	2	3	18-27	4	2	2	до 18	1	5	1	стыд.	стыдно	стыд.	стыда?	Испанский стыд.	Стыдно.	никогда	да, в основном это девушки до 20-24 лет, безработные сычи, живущие на деньги родителей)	ну, раньше ведь как-то обходились словами стыд, позор, срам..
10/12/2021 15:15:21	21	Женщина	Вильнюс, Литва	Достаточно много, но только читаю	Вконтакте, Фейсбук, Инстаграм	18-27	3	3	2	40-60	5	3	4	до 18	3	4	1	27-40	5	2	5	18-27	1	4	1	60+	1	1	1	18-27	3	4	2	27-40	5	3	5	18-27	3	4	1	до 18	2	5	1	стыд.	стыдно	кринж.	стыда?	Испанский стыд.	Кринжово.	нечасто	около 18	стыд, смущение, испуг, испанский стыд, рукалицо
10/12/2021 15:17:40	22	Мужчина	Москва, общежитие	Достаточно много, но только читаю	Вконтакте, Инстаграм	до 18	3	4	5	27-40	3	3	3	до 18	4	3	5	18-27	3	4	3	до 18	3	4	3	60+	3	1	3	18-27	4	3	4	27-40	4	4	4	18-27	4	3	4	до 18	4	5	4	кринж.	стыдно	стыд.	стыда?	Испанский стыд.	Кринжово.	50 на 50	Относительно часто от 20 до 25	Нет
10/12/2021 15:21:40	17	Женщина	Нур-Султан, Казахстан 	Достаточно много, но только читаю	Инстаграм	до 18	3	2	2	27-40	5	2	5	до 18	4	5	2	40-60	5	2	4	до 18	1	1	1	60+	1	1	1	до 18	1	4	1	18-27	5	2	5	18-27	3	3	3	до 18	1	5	1	стыд.	стыдно	стыд.	стыда?	Испанский стыд.	Стыдно.	никогда 	не часто 	ужасный стыд
10/12/2021 15:23:02	21	Женщина	Москва 	Достаточно много, но только читаю	Вконтакте, Инстаграм	18-27	3	5	3	40-60	4	2	1	до 18	3	5	5	40-60	5	2	2	18-27	3	4	1	60+	2	1	1	27-40	3	4	1	18-27	4	4	4	18-27	3	4	2	18-27	2	4	2	стыд.	стыдно	кринж.	стыда?	Кринж.	Стыдно.	Не часто		
10/12/2021 15:23:31	18	Мужчина	В Узбекистане 	Достаточно много, активно их веду	Инстаграм	18-27	3	4	4	27-40	5	3	5	до 18	1	1	1	27-40	5	3	5	до 18	3	5	3	60+	3	1	2	18-27	3	4	2	18-27	5	4	5	40-60	5	2	5	до 18	3	5	3	стыд.	стыдно	кринж.	стыда?	Испанский стыд.	Кринжово.	Не часто 	Довольно часто. От 13-18	Стыд
10/12/2021 15:24:36	18	Мужчина	В городе	Немного или вообще не провожу	Инстаграм	до 18	1	5	1	27-40	5	1	4	до 18	1	5	1	40-60	5	1	1	до 18	1	5	1	60+	1	1	1	18-27	1	5	1	18-27	5	3	5	18-27	4	4	4	до 18	1	5	1	стыд.	стыдно	стыд.	стыда?	Испанский стыд.	Стыдно.	Не знаю значение этого слова		
10/12/2021 15:24:58	22	Мужчина	Пермь	Достаточно много, но только читаю	Вконтакте, Инстаграм	18-27	5	5	1	27-40	5	4	5	18-27	3	5	1	18-27	5	3	5	до 18	2	4	1	40-60	3	1	1	18-27	4	5	2	27-40	5	3	5	27-40	5	3	5	18-27	4	4	1	кринж.	стыдно	кринж.	стыда?	Кринж.	Кринжово.	Да, забавное слово, очень высокая эмоциональная окраска	Да	Стыд, неловко
10/12/2021 15:25:18	21	Женщина	г. Краснодар 	Достаточно много, активно их веду	Вконтакте, Инстаграм	18-27	3	3	1	40-60	3	2	4	до 18	2	5	1	18-27	5	4	3	18-27	3	5	1	60+	4	2	2	18-27	4	5	2	18-27	5	5	4	27-40	4	5	2	27-40	2	2	3	кринж.	стыдно	стыд.	стыда?	Испанский стыд.	Стыдно.	Иногда, в разговоре с подругами или в переписках, но сугубо в ироничном ключе (имитирую разговор "молодёжи" или пытаюсь сделать фразу смешнее благодаря вот такому сленгу)	Редко, слышу в тех же ситуациях, о которых написала выше. Как правило, это люди, у которых есть неоконченное или полное высшее, и таким образом они пытаются стилизовать свою речь 	Мне кажется, что кринж и стыд это всё же синонимы. Думаю, что могут быть использованы также всевозможные слова, производные от "стыда", вроде стыдобы 
10/12/2021 15:30:02	18	Женщина	Новосибирск	Достаточно много, активно их веду	Вконтакте, Инстаграм	до 18	3	4	2	27-40	4	2	5	до 18	3	4	2	18-27	5	4	3	до 18	2	5	3	40-60	4	2	2	18-27	4	3	2	18-27	4	3	5	18-27	4	4	2	18-27	5	4	4	кринж.	стыдно	кринж.	стыда?	Испанский стыд.	Кринжово.	каждый день	часто. мои ровесники (17-19), студенты, школьники. предполагаю, что в возрасте до 17 это слово употребляется ещё чаще	стыд.....
10/12/2021 15:37:32	22	Мужчина	Общежитие	Достаточно много, но только читаю	Вконтакте, Инстаграм	18-27	2	3	1	40-60	4	1	4	18-27	3	3	2	27-40	3	2	3	до 18	2	4	1	60+	2	1	2	18-27	2	4	2	27-40	3	3	3	27-40	4	2	3	18-27	2	3	1	кринж.	стыдно	стыд.	стыда?	Испанский стыд.	Кринжово.	Очень часто	Часто, ровесники-студенты	Считаю нет 
10/12/2021 15:40:52	19	Женщина	Молдова	Достаточно много, активно их веду	Вконтакте, Инстаграм	18-27	5	5	3	27-40	5	2	5	до 18	4	5	1	27-40	5	2	4	18-27	3	5	2	40-60	2	2	1	18-27	4	5	3	27-40	5	2	5	40-60	4	2	4	18-27	4	3	3	стыд.	стыдно	стыд.	стыда?	Испанский стыд.	Кринжово.	довольно редко 	часто; студенты, от 17 до 23 лет;	ну, стыд, наверное, нет?!
10/12/2021 16:10:00	22	Женщина	В Перми 	Достаточно много, но только читаю	Инстаграм	18-27	3	5	2	27-40	4	3	4	до 18	3	5	2	18-27	3	4	4	18-27	2	5	1	40-60	3	2	3	27-40	3	3	3	60+	5	1	5	18-27	4	3	3	18-27	4	4	2	стыд.	стыдно	стыд.	стыда?	Испанский стыд.	Кринжово.	Не так часто 	Довольно часто, люди с высшим образованием, 21-22 года	Есть - стыд, позор 
10/12/2021 16:28:25	19	Мужчина	Город (350.000 человек)	Достаточно много, активно их веду	Вконтакте, Инстаграм	18-27	3	2	2	27-40	3	1	3	до 18	2	3	1	18-27	3	2	2	18-27	1	2	1	40-60	2	1	1	18-27	2	2	1	27-40	3	2	3	18-27	3	3	2	18-27	2	2	1	стыд.	стыдно	стыд.	стыда?	Испанский стыд.	Стыдно.	Никогда	Мои друзья, тоже студенты, и пользуют не часто	Есть, «стремно»
10/12/2021 16:48:16	22	Мужчина	Екатеринбург	Достаточно много, но только читаю	Твиттер, Вконтакте, Фейсбук, Инстаграм	18-27	3	3	3	27-40	2	4	3	до 18	2	3	3	18-27	4	3	4	18-27	3	3	3	40-60	2	2	2	18-27	3	4	3	18-27	2	3	4	18-27	1	4	3	18-27	4	3	3	кринж.	стыдно	кринж.	стыда?	Кринж.	Стыдно.	Иногда	Часто. Студенты.	Есть аналоги. Неловкость и производные, стыд и производные, отстой, грусть, ужас, кошмар, тлен, фейспалм, оумайгадэбл, "не очень"
12/12/2021 14:32:30	18	Мужчина	Ростов-на-Дону 	Достаточно много, но только читаю	Вконтакте, Инстаграм	18-27	2	5	2	40-60	5	2	4	до 18	2	5	1	27-40	5	3	4	18-27	2	5	1	40-60	5	2	3	18-27	2	5	1	27-40	5	3	4	40-60	5	3	5	18-27	3	4	2	кринж.	стыдно	кринж.	стыда?	Испанский стыд.	Стыдно.	Не часто	В последнее время стал слышать реже чем несколько месяцев назад, но всё же иногда приходится 	Стыд, стыдоба, стыдобище, позор 